gene_symbol	gene_symbol_long	_identifier
MDR-2, ABCB17	Multi-drug resistance gene 2	glyma.Wm82.gnm2.ann1.Glyma.12G135300
MDR-3	Multi-drug resistance gene 3	glyma.Wm82.gnm2.ann1.Glyma.18G012700
MDR-4	Drug resistance transporter-like ABC domain gene 4	glyma.Wm82.gnm2.ann1.Glyma.19G169300
ME1-1	NAD-dependent malic enzyme gene 1	glyma.Wm82.gnm2.ann1.Glyma.09G262900
ME1-2	NAD-dependent malic enzyme gene 2	glyma.Wm82.gnm2.ann1.Glyma.04G086300
MED10-1	Mediator Complex 10 gene 1	glyma.Wm82.gnm2.ann1.Glyma.08G296500
MED10-2	Mediator Complex 10 gene 2	glyma.Wm82.gnm2.ann1.Glyma.18G125700
MED11-1	Mediator Complex 11 gene 1	glyma.Wm82.gnm2.ann1.Glyma.03G168300
MED11-2	Mediator Complex 11 gene 2	glyma.Wm82.gnm2.ann1.Glyma.19G169600
MED12-1	Mediator Complex 12 gene 1	glyma.Wm82.gnm2.ann1.Glyma.03G009200
MED12-2	Mediator Complex 12 gene 2	glyma.Wm82.gnm2.ann1.Glyma.07G070700
MED12-3	Mediator Complex 12 gene 3	glyma.Wm82.gnm2.ann1.Glyma.09G259400
MED12-4	Mediator Complex 12 gene 4	glyma.Wm82.gnm2.ann1.Glyma.18G232900
MED13-1	Mediator Complex 13 gene 1	glyma.Wm82.gnm2.ann1.Glyma.18G000100
MED13-2	Mediator Complex 13 gene 2	glyma.Wm82.gnm2.ann1.Glyma.11G256800
MED14-1	Mediator Complex 14 gene 1	glyma.Wm82.gnm2.ann1.Glyma.03G247300
MED14-2	Mediator Complex 14 gene 2	glyma.Wm82.gnm2.ann1.Glyma.19G245100
MED14-3	Mediator Complex 14 gene 3	glyma.Wm82.gnm2.ann1.Glyma.01G083100
MED15-1	Mediator Complex 15 gene 1	glyma.Wm82.gnm2.ann1.Glyma.08G214900
MED15-2	Mediator Complex 15 gene 2	glyma.Wm82.gnm2.ann1.Glyma.13G367700
MED15-3	Mediator Complex 15 gene 3	glyma.Wm82.gnm2.ann1.Glyma.15G005500
MED16-1	Mediator Complex 16 gene 1	glyma.Wm82.gnm2.ann1.Glyma.13G181200
MED16-2	Mediator Complex 16 gene 2	glyma.Wm82.gnm2.ann1.Glyma.13G241100
MED16-3	Mediator Complex 15 gene 3	glyma.Wm82.gnm2.ann1.Glyma.15G072300
MED17-1	Mediator Complex 17 gene 1	glyma.Wm82.gnm2.ann1.Glyma.05G009700
MED17-2	Mediator Complex 17 gene 2	glyma.Wm82.gnm2.ann1.Glyma.14G007400
MED17-3	Mediator Complex 17 gene 3	glyma.Wm82.gnm2.ann1.Glyma.17G117600
MED18-1	Mediator Complex 18 gene 1	glyma.Wm82.gnm2.ann1.Glyma.09G054300
MED18-2	Mediator Complex 18 gene 2	glyma.Wm82.gnm2.ann1.Glyma.15G160500
MED18-3	Mediator Complex 18 gene 3	glyma.Wm82.gnm2.ann1.Glyma.18G135700
MED19-1	Mediator Complex 19 gene 1	glyma.Wm82.gnm2.ann1.Glyma.04G001800
MED19-2	Mediator Complex 19 gene 2	glyma.Wm82.gnm2.ann1.Glyma.06G001300
MED19-3	Mediator Complex 19 gene 3	glyma.Wm82.gnm2.ann1.Glyma.07G058600
MED19-4	Mediator Complex 19 gene 4	glyma.Wm82.gnm2.ann1.Glyma.16G027500
MED2-1	Mediator Complex 2 gene 1	glyma.Wm82.gnm2.ann1.Glyma.04G123300
MED2-2	Mediator Complex 2 gene 2	glyma.Wm82.gnm2.ann1.Glyma.09G214900
MED20-1	Mediator Complex 20 gene 1	glyma.Wm82.gnm2.ann1.Glyma.13G109300
MED20-2	Mediator Complex 20 gene 2	glyma.Wm82.gnm2.ann1.Glyma.17G050300
MED21-1	Mediator Complex 21 gene 1	glyma.Wm82.gnm2.ann1.Glyma.10G264300
MED22-1	Mediator Complex 22 gene 1	glyma.Wm82.gnm2.ann1.Glyma.08G160100
MED22-2	Mediator Complex 22 gene 2	glyma.Wm82.gnm2.ann1.Glyma.15G204300
MED23-1	Mediator Complex 23 gene 1	glyma.Wm82.gnm2.ann1.Glyma.09G123500
MED25-1	Mediator Complex 25 gene 1	glyma.Wm82.gnm2.ann1.Glyma.02G098300
MED25-2	Mediator Complex 25 gene 2	glyma.Wm82.gnm2.ann1.Glyma.01G086600
MED25-3	Mediator Complex 25 gene 3	glyma.Wm82.gnm2.ann1.Glyma.02G098500
MED25-4	Mediator Complex 25 gene 4	glyma.Wm82.gnm2.ann1.Glyma.20G031800
MED26-1	Mediator Complex 26 gene 1	glyma.Wm82.gnm2.ann1.Glyma.04G216700
MED26-2	Mediator Complex 26 gene 2	glyma.Wm82.gnm2.ann1.Glyma.05G187800
MED26-3	Mediator Complex 26 gene 3	glyma.Wm82.gnm2.ann1.Glyma.06G149200
MED26-4	Mediator Complex 26 gene 4	glyma.Wm82.gnm2.ann1.Glyma.08G146000
MED28-1	Mediator Complex 28 gene 1	glyma.Wm82.gnm2.ann1.Glyma.05G185600
MED28-2	Mediator Complex 28 gene 2	glyma.Wm82.gnm2.ann1.Glyma.08G143600
MED3-1	Mediator Complex 3 gene 1	glyma.Wm82.gnm2.ann1.Glyma.03G201900
MED3-2	Mediator Complex 3 gene 2	glyma.Wm82.gnm2.ann1.Glyma.19G026300
MED30-1	Mediator Complex 30 gene 1	glyma.Wm82.gnm2.ann1.Glyma.04G196600
MED30-2	Mediator Complex 30 gene 2	glyma.Wm82.gnm2.ann1.Glyma.06G169200
MED31-1	Mediator Complex 31 gene 1	glyma.Wm82.gnm2.ann1.Glyma.10G242500
MED31-2	Mediator Complex 31 gene 2	glyma.Wm82.gnm2.ann1.Glyma.20G151600
MED34-1	Mediator Complex 34 gene 1	glyma.Wm82.gnm2.ann1.Glyma.09G215200
MED35-1	Mediator Complex 35 gene 1	glyma.Wm82.gnm2.ann1.Glyma.11G102600
MED35-3	Mediator Complex 35 gene 3	glyma.Wm82.gnm2.ann1.Glyma.12G028100
MED35-4	Mediator Complex 35 gene 4	glyma.Wm82.gnm2.ann1.Glyma.17G233000
MED35-5	Mediator Complex 35 gene 5	glyma.Wm82.gnm2.ann1.Glyma.20G135800
MED36-1	Mediator Complex 36 gene 1	glyma.Wm82.gnm2.ann1.Glyma.04G200700
MED36-2	Mediator Complex 36 gene 2	glyma.Wm82.gnm2.ann1.Glyma.06G164800
MED36-3	Mediator Complex 36 gene 3	glyma.Wm82.gnm2.ann1.Glyma.18G020000
MED37-1	Mediator Complex 37 gene 1	glyma.Wm82.gnm2.ann1.Glyma.02G093200
MED37-10	Mediator Complex 37 gene 10	glyma.Wm82.gnm2.ann1.Glyma.18G289100
MED37-11	Mediator Complex 37 gene 11	glyma.Wm82.gnm2.ann1.Glyma.18G289600
MED37-12	Mediator Complex 37 gene 12	glyma.Wm82.gnm2.ann1.Glyma.19G172200
MED37-2	Mediator Complex 37 gene 2	glyma.Wm82.gnm2.ann1.Glyma.03G171100
MED37-3	Mediator Complex 37 gene 3	glyma.Wm82.gnm2.ann1.Glyma.05G219600
MED37-4	Mediator Complex 37 gene 4 	glyma.Wm82.gnm2.ann1.Glyma.05G219400
MED37-5	Mediator Complex 37 gene 5	glyma.Wm82.gnm2.ann1.Glyma.07G170800
MED37-6	Mediator Complex 37 gene 6	glyma.Wm82.gnm2.ann1.Glyma.08G025700
MED37-8	Mediator Complex 37 gene 8	glyma.Wm82.gnm2.ann1.Glyma.11G140500
MED37-9	Mediator Complex 37 gene 9	glyma.Wm82.gnm2.ann1.Glyma.12G064000
MED4-1	Mediator Complex 4 gene 1	glyma.Wm82.gnm2.ann1.Glyma.06G188800
MED4-2	Mediator Complex 4 gene 2	glyma.Wm82.gnm2.ann1.Glyma.08G287300
MED4-3	Mediator Complex 4 gene 3	glyma.Wm82.gnm2.ann1.Glyma.13G067700
MED5-1	Mediator Complex 5 gene 1	glyma.Wm82.gnm2.ann1.Glyma.03G151100
MED5-2	Mediator Complex 5 gene 2	glyma.Wm82.gnm2.ann1.Glyma.05G001600
MED5-3	Mediator Complex 5 gene 3	glyma.Wm82.gnm2.ann1.Glyma.13G209800
MED5-4	Mediator Complex 5 gene 4	glyma.Wm82.gnm2.ann1.Glyma.15G102800
MED5-5	Mediator Complex 5 gene 5	glyma.Wm82.gnm2.ann1.Glyma.18G218900
MED5-6	Mediator Complex 5 gene 6	glyma.Wm82.gnm2.ann1.Glyma.19G001500
MED6-1	Mediator Complex 6 gene 1	glyma.Wm82.gnm2.ann1.Glyma.08G199200
MED7-1	Mediator Complex 7 gene 1	glyma.Wm82.gnm2.ann1.Glyma.07G029300
MED7-2	Mediator Complex 7 gene 2	glyma.Wm82.gnm2.ann1.Glyma.08G213500
MED8-1	Mediator Complex 8 gene 1	glyma.Wm82.gnm2.ann1.Glyma.13G372700
MED9-1	Mediator Complex 9 gene 1	glyma.Wm82.gnm2.ann1.Glyma.07G009300
MED9-2	Mediator Complex 9 gene 2	glyma.Wm82.gnm2.ann1.Glyma.08G192500
MEKK	MAPK/ERK kinase kinase family protein gene	glyma.Wm82.gnm2.ann1.Glyma.13G084100
MEKK2	mitogen-activated protein kinase gene	glyma.Wm82.gnm2.ann1.Glyma.17G173000
MER3	ATP-dependent DNA helicase gene	glyma.Wm82.gnm2.ann1.Glyma.16G072300
MET2	metallothionein type 2 gene	glyma.Wm82.gnm2.ann1.Glyma.07G132000
MGD1	monogalactosyldiacylglycerol synthase 1 gene	glyma.Wm82.gnm2.ann1.Glyma.14G104100
MGT1	Magnesium Transporter gene 1	glyma.Wm82.gnm2.ann1.Glyma.01G242000
MGT10	Magnesium Transporter gene 10	glyma.Wm82.gnm2.ann1.Glyma.05G168200
MGT11	Magnesium Transporter gene 11	glyma.Wm82.gnm2.ann1.Glyma.05G196000
MGT12	Magnesium Transporter gene 12	glyma.Wm82.gnm2.ann1.Glyma.05G196600
MGT13	Magnesium Transporter gene 13	glyma.Wm82.gnm2.ann1.Glyma.06G005000
MGT14	Magnesium Transporter gene 14	glyma.Wm82.gnm2.ann1.Glyma.06G053100
MGT15	Magnesium Transporter gene 15	glyma.Wm82.gnm2.ann1.Glyma.06G159100
MGT16	Magnesium Transporter gene 16	glyma.Wm82.gnm2.ann1.Glyma.06G208700
MGT17	Magnesium Transporter gene 17	glyma.Wm82.gnm2.ann1.Glyma.08G003600
MGT18	Magnesium Transporter gene 18	glyma.Wm82.gnm2.ann1.Glyma.08G126600
MGT19	Magnesium Transporter gene 19	glyma.Wm82.gnm2.ann1.Glyma.10G180200
MGT2	Magnesium Transporter gene 2	glyma.Wm82.gnm2.ann1.Glyma.02G068000
MGT20	Magnesium Transporter gene 20	glyma.Wm82.gnm2.ann1.Glyma.11G002200
MGT21	Magnesium Transporter gene 21	glyma.Wm82.gnm2.ann1.Glyma.11G105300
MGT22	Magnesium Transporter gene 22	glyma.Wm82.gnm2.ann1.Glyma.11G255400
MGT23	Magnesium Transporter gene 23	glyma.Wm82.gnm2.ann1.Glyma.12G030100
MGT24	Magnesium Transporter gene 24	glyma.Wm82.gnm2.ann1.Glyma.12G159000
MGT25	Magnesium Transporter gene 25	glyma.Wm82.gnm2.ann1.Glyma.12G168000
MGT26	Magnesium Transporter gene 26	glyma.Wm82.gnm2.ann1.Glyma.12G180000
MGT27	Magnesium Transporter gene 27	glyma.Wm82.gnm2.ann1.Glyma.13G254800
MGT28	Magnesium Transporter gene 28	glyma.Wm82.gnm2.ann1.Glyma.13G320800
MGT29	Magnesium Transporter gene 29	glyma.Wm82.gnm2.ann1.Glyma.13G368400
MGT3	Magnesium Transporter gene 3	glyma.Wm82.gnm2.ann1.Glyma.02G117100
MGT30	Magnesium Transporter gene 30	glyma.Wm82.gnm2.ann1.Glyma.13G370900
MGT31	Magnesium Transporter gene 31	glyma.Wm82.gnm2.ann1.Glyma.14G033700
MGT32	Magnesium Transporter gene 32	glyma.Wm82.gnm2.ann1.Glyma.14G097400
MGT33	Magnesium Transporter gene 33	glyma.Wm82.gnm2.ann1.Glyma.15G002700
MGT34	Magnesium Transporter gene 34	glyma.Wm82.gnm2.ann1.Glyma.15G125900
MGT35	Magnesium Transporter gene 35	glyma.Wm82.gnm2.ann1.Glyma.16G003900
MGT36	Magnesium Transporter gene 36	glyma.Wm82.gnm2.ann1.Glyma.16G149500
MGT37	Magnesium Transporter gene 37	glyma.Wm82.gnm2.ann1.Glyma.17G227100
MGT38	Magnesium Transporter gene 38	glyma.Wm82.gnm2.ann1.Glyma.19G161600
MGT39	Magnesium Transporter gene 39	glyma.Wm82.gnm2.ann1.Glyma.20G210300
MGT4	Magnesium Transporter gene 4	glyma.Wm82.gnm2.ann1.Glyma.02G280800
MGT5	Magnesium Transporter gene 5	glyma.Wm82.gnm2.ann1.Glyma.02G285600
MGT6	Magnesium Transporter gene 6	glyma.Wm82.gnm2.ann1.Glyma.03G159400
MGT7	Magnesium Transporter gene 7	glyma.Wm82.gnm2.ann1.Glyma.04G005200
MGT8	Magnesium Transporter gene 8	glyma.Wm82.gnm2.ann1.Glyma.04G052700
MGT9	Magnesium Transporter gene 9	glyma.Wm82.gnm2.ann1.Glyma.05G153000
MIPS	myo-inositol-3-phosphate synthase gene	glyma.Wm82.gnm2.ann1.Glyma.11G238800
MIPS4	inositol-3-phosphate synthase gene	glyma.Wm82.gnm2.ann1.Glyma.08G138200
MKK1a	Mitogen-activated protein kinase kinase 1 gene a	glyma.Wm82.gnm2.ann1.Glyma.15G172600
MKK2a, MAPKK2	Mitogen-activated protein kinase kinase 2 gene a	glyma.Wm82.gnm2.ann1.Glyma.17G052400
MKK2b	Mitogen-activated protein kinase kinase 2 gene b	glyma.Wm82.gnm2.ann1.Glyma.13G106900
MKK4	mitogen-activated protein kinase kinase 4 gene	glyma.Wm82.gnm2.ann1.Glyma.07G003200
MKS2	methylketone synthase 2 gene	glyma.Wm82.gnm2.ann1.Glyma.01G080400
MLH3	MutL Homolog 3 gene	glyma.Wm82.gnm2.ann1.Glyma.11G086300
MLP34	MLP-like protein gene	glyma.Wm82.gnm2.ann1.Glyma.09G102400
MMP2	Matrix metalloproteinase 2 gene	glyma.Wm82.gnm2.ann1.Glyma.01G036900
MMT1	methionine S-methyltransferase	glyma.Wm82.gnm2.ann1.Glyma.12G163700
MMT2	methionine S-methyltransferase	glyma.Wm82.gnm2.ann1.Glyma.16G000200
MP2, PM2	maturation polypeptide 2 gene	glyma.Wm82.gnm2.ann1.Glyma.13G149000
MPK1	Mitogen-Activated protein Kinase 1 gene	glyma.Wm82.gnm2.ann1.Glyma.08G309500
MPK4	mitogen-activated protein kinase 4	glyma.Wm82.gnm2.ann1.Glyma.01G222000
MPK4A	mitogen-activated protein kinase MPK4a	glyma.Wm82.gnm2.ann1.Glyma.16G032900
MPK4B	mitogen-activated protein kinase MPk4b	glyma.Wm82.gnm2.ann1.Glyma.07G066800
MPK4c, MAPK11-2	Mitogen-activated protein kinase kinase 4 gene c	glyma.Wm82.gnm2.ann1.Glyma.09G256000
MPK4d	Mitogen-activated protein kinase kinase 4 gene d	glyma.Wm82.gnm2.ann1.Glyma.18G236800
MRF2	MORN-repeat Motif gene 2	glyma.Wm82.gnm2.ann1.Glyma.03G106900
MS	malate synthase gene	glyma.Wm82.gnm2.ann1.Glyma.17G128000
MS6	Male Sterile 6,TDF1 gene	glyma.Wm82.gnm2.ann1.Glyma.13G066600
MSG	MLP-like protein 28-like gene	glyma.Wm82.gnm2.ann1.Glyma.20G017900
MSH1	DNA mismatch repair protein gene	glyma.Wm82.gnm2.ann1.Glyma.10G130700
MST1	monosaccharide transporter gene	glyma.Wm82.gnm2.ann1.Glyma.08G035300
MT2	malonyltransferase 2 gene	glyma.Wm82.gnm2.ann1.Glyma.18G057700
MT3	type 3 metallothionein MT3 gene	glyma.Wm82.gnm2.ann1.Glyma.06G242900
MTO3	METHIONINE OVER-ACCUMULATOR 3 gene	glyma.Wm82.gnm1.ann1.Glyma17g04330
MYB047	transcription factor MYB047 gene	glyma.Wm82.gnm2.ann1.Glyma.04G004100
MYB091, PHANb	MYB transcription factor 91 gene	glyma.Wm82.gnm2.ann1.Glyma.03G081900
MYB101	MYB transcription factor 101 gene	glyma.Wm82.gnm2.ann1.Glyma.12G017000
MYB107	MYB transcription factor 107 gene	glyma.Wm82.gnm2.ann1.Glyma.08G189900
MYB109	MYB transcription factor 109 gene	glyma.Wm82.gnm2.ann1.Glyma.17G121000
MYB11	MYB transcription factor 11  gene	glyma.Wm82.gnm2.ann1.Glyma.19G024700
MYB112	MYB transcription factor 112 gene	glyma.Wm82.gnm2.ann1.Glyma.01G190100
MYB118	MYB transcription factor 118 gene	glyma.Wm82.gnm2.ann1.Glyma.10G048500
MYB121	MYB transcription factor 121 gene	glyma.Wm82.gnm2.ann1.Glyma.15G176000
MYB124	MYB transcription factor 124 gene	glyma.Wm82.gnm2.ann1.Glyma.06G036800
MYB127	MYB transcription factor 127 gene	glyma.Wm82.gnm2.ann1.Glyma.08G029400
MYB128	MYB transcription factor 128 gene	glyma.Wm82.gnm2.ann1.Glyma.01G003000
MYB12A	R2R3-type MYB transcription factor 12a gene	glyma.Wm82.gnm2.ann1.Glyma.03G221700
MYB13	MYB transcription factor 13 gene	glyma.Wm82.gnm2.ann1.Glyma.20G184200
MYB133	MYB transcription factor 133 gene	glyma.Wm82.gnm2.ann1.Glyma.07G066100
MYB136	MYB transcription factor 136 gene	glyma.Wm82.gnm2.ann1.Glyma.09G131400
MYB138	MYB transcription factor 138 gene	glyma.Wm82.gnm2.ann1.Glyma.02G026300
MYB139	MYB transcription factor 139 gene	glyma.Wm82.gnm2.ann1.Glyma.13G333200
MYB14	MYB transcription factor 14 gene	glyma.Wm82.gnm2.ann1.Glyma.15G259400
MYB142	MYB transcription factor 142 gene	glyma.Wm82.gnm2.ann1.Glyma.19G127900
MYB143	MYB transcription factor 143 gene	glyma.Wm82.gnm2.ann1.Glyma.04G177300
MYB145	MYB transcription factor 145 gene	glyma.Wm82.gnm2.ann1.Glyma.12G066000
MYB149	MYB transcription factor 149 gene	glyma.Wm82.gnm2.ann1.Glyma.08G293300
MYB150	MYB transcription factor 150 gene	glyma.Wm82.gnm2.ann1.Glyma.06G201500
MYB158	MYB transcription factor 158 gene	glyma.Wm82.gnm2.ann1.Glyma.01G038600
MYB159	R2R3 MYB transcription factor 159 gene	glyma.Wm82.gnm2.ann1.Glyma.07G216000
MYB164	MYB transcription factor 164 gene	glyma.Wm82.gnm2.ann1.Glyma.14G074500
MYB172	MYB transcription factor 172 gene	glyma.Wm82.gnm2.ann1.Glyma.13G307300
MYB173, MYB175	MYB Transcription factor 173 gene	glyma.Wm82.gnm2.ann1.Glyma.17G094400
MYB176	MYB transcription factor 176 gene	glyma.Wm82.gnm2.ann1.Glyma.05G032200
MYB177	MYB transcription factor 177 gene	glyma.Wm82.gnm2.ann1.Glyma.14G210600
MYB178	MYB transcription factor 178 gene	glyma.Wm82.gnm2.ann1.Glyma.17G167100
MYB180	MYB transcription factor 180 gene	glyma.Wm82.gnm2.ann1.Glyma.17G144100
MYB181	MYB transcription factor 181 gene	glyma.Wm82.gnm2.ann1.Glyma.16G073000
MYB182	MYB transcription factor 182 gene	glyma.Wm82.gnm2.ann1.Glyma.19G061300
MYB183	MYB transcription factor 183 gene	glyma.Wm82.gnm2.ann1.Glyma.06G187600
MYB184	MYB transcription factor 184 gene	glyma.Wm82.gnm2.ann1.Glyma.08G042100
MYB185	MYB transcription factor 185 gene	glyma.Wm82.gnm2.ann1.Glyma.19G257400
MYB205	MYB transcription factor 205 gene	glyma.Wm82.gnm2.ann1.Glyma.17G050500
MYB29	MYB transcription factor 29 gene	glyma.Wm82.gnm2.ann1.Glyma.10G180800
MYB29B2	MYB/HD-like transcription factor gene 29B2	glyma.Wm82.gnm2.ann1.Glyma.20G209700
MYB3A	MYB transcription factor 3a gene	glyma.Wm82.gnm2.ann1.Glyma.20G013000
MYB48	MYB transcription factor 48 gene	glyma.Wm82.gnm2.ann1.Glyma.06G003800
MYB50	MYB transcription factor 50 gene	glyma.Wm82.gnm2.ann1.Glyma.11G052100
MYB51	MYB transcription factor 51 gene	glyma.Wm82.gnm2.ann1.Glyma.03G078000
MYB52	MYB transcription factor 52 gene	glyma.Wm82.gnm2.ann1.Glyma.15G019400
MYB53	MYB transcription factor 53 gene	glyma.Wm82.gnm2.ann1.Glyma.13G063200
MYB54	MYB transcription factor 54 gene	glyma.Wm82.gnm2.ann1.Glyma.12G032200
MYB55	MYB transcription factor 55 gene	glyma.Wm82.gnm2.ann1.Glyma.09G029300
MYB56	MYB transcription factor 56 gene	glyma.Wm82.gnm2.ann1.Glyma.06G160500
MYB57	MYB transcription factor 57 gene	glyma.Wm82.gnm2.ann1.Glyma.14G191700
MYB58	MYB transcription factor 58 gene	glyma.Wm82.gnm2.ann1.Glyma.05G061900
MYB59	MYB DNA binding / transcription factor gene 59	glyma.Wm82.gnm2.ann1.Glyma.11G142900
MYB60	MYB transcription factor 60 gene	glyma.Wm82.gnm2.ann1.Glyma.18G259100
MYB62	MYB transcription factor 62 gene	glyma.Wm82.gnm2.ann1.Glyma.13G354800
MYB62;L1	MYB62;L1 transcription factor gene	glyma.Wm82.gnm2.ann1.Glyma.10G010400
MYB64	MYB transcription factor 64 gene	glyma.Wm82.gnm2.ann1.Glyma.19G222200
MYB68	MYB transcription factor 68 gene	glyma.Wm82.gnm2.ann1.Glyma.04G042300
MYB70	MYB transcription factor 70 gene	glyma.Wm82.gnm2.ann1.Glyma.17G237900
MYB73	MYB transcription factor 73 gene	glyma.Wm82.gnm2.ann1.Glyma.06G303100
MYB75	MYB transcription factor 75 gene	glyma.Wm82.gnm2.ann1.Glyma.14G062200
MYB76	MYB transcription factor 76 gene	glyma.Wm82.gnm2.ann1.Glyma.02G009800
MYB81	MYB transcription factor 81 gene	glyma.Wm82.gnm2.ann1.Glyma.14G086500
MYB82	MYB transcription factor 82 gene	glyma.Wm82.gnm2.ann1.Glyma.15G034500
MYB83	MYB transcription factor 83 gene	glyma.Wm82.gnm2.ann1.Glyma.02G254200
MYB84	MYB transcription factor 84 gene	glyma.Wm82.gnm2.ann1.Glyma.05G234600
MYB85	MYB transcription factor 85 gene	glyma.Wm82.gnm2.ann1.Glyma.17G160500
MYB92	MYB transcription factor 92 gene	glyma.Wm82.gnm2.ann1.Glyma.16G023000
MYB93	MYB transcription factor 93 gene	glyma.Wm82.gnm2.ann1.Glyma.05G062300
MYB98	MYB transcription factor 98 gene	glyma.Wm82.gnm2.ann1.Glyma.19G061600
MYB99	MYB transcription factor 99 gene	glyma.Wm82.gnm2.ann1.Glyma.05G006100
MYBJ1	protein ODORANT1-like gene	glyma.Wm82.gnm2.ann1.Glyma.05G051700
MYBJ2	myb-related protein 306-like gene	glyma.Wm82.gnm2.ann1.Glyma.04G170100
MYBZ2	transcription factor MYBZ2 gene	glyma.Wm82.gnm2.ann1.Glyma.11G107100
Mdh2	malate dehydrogenase 2 gene, chloroplastic-like	glyma.Wm82.gnm2.ann1.Glyma.05G026300
Ms1	Male Sterile 1 gene	glyma.Wm82.gnm2.ann1.Glyma.13G114200
N-21, VTL1a	nodulin-21 gene	glyma.Wm82.gnm2.ann1.Glyma.05G121600
N-22	nodulin-22 gene	glyma.Wm82.gnm2.ann1.Glyma.15G045000
N-23	nodulin-23 gene	glyma.Wm82.gnm2.ann1.Glyma.20G024200
N-26	nodulin-26 gene	glyma.Wm82.gnm2.ann1.Glyma.08G120100
N-26B	nodulin-26b (AA 1-213) gene	glyma.Wm82.gnm2.ann1.Glyma.19G074000
N-36A	early nodulin-36A gene	glyma.Wm82.gnm2.ann1.Glyma.01G028500
N-44	nodulin-44 gene	glyma.Wm82.gnm2.ann1.Glyma.13G364400
N-56	probable 2-isopropylmalate synthase gene	glyma.Wm82.gnm2.ann1.Glyma.13G024700
N-70	early nodulin-70 gene	glyma.Wm82.gnm2.ann1.Glyma.18G018900
N479	C2H2 zinc finger protein gene	glyma.Wm82.gnm2.ann1.Glyma.07G135800
N6L	nodulin 6l gene	glyma.Wm82.gnm2.ann1.Glyma.10G060100
N:IFR	Isoflavone Reductase gene	glyma.Wm82.gnm2.ann1.Glyma.01G172600
NAB	Nucleic Acids Binding protein gene	glyma.Wm82.gnm2.ann1.Glyma.18G185900
NAC001	NAC domain-containing protein gene 1	glyma.Wm82.gnm2.ann1.Glyma.01G005500
NAC002	NAC domain-containing protein gene 2	glyma.Wm82.gnm2.ann1.Glyma.01G046800
NAC003, NAC1	NAC domain-containing protein gene 3	glyma.Wm82.gnm2.ann1.Glyma.01G051300
NAC004	NAC domain-containing protein gene 4	glyma.Wm82.gnm2.ann1.Glyma.01G088200
NAC005	NAC domain-containing protein gene 5	glyma.Wm82.gnm2.ann1.Glyma.01G167900
NAC006	NAC domain-containing protein gene 6	glyma.Wm82.gnm2.ann1.Glyma.02G070000
NAC007	NAC domain-containing protein gene 7	glyma.Wm82.gnm2.ann1.Glyma.02G070600
NAC008	NAC domain-containing protein gene 8	glyma.Wm82.gnm2.ann1.Glyma.02G100200
NAC009	NAC domain-containing protein gene 9	glyma.Wm82.gnm2.ann1.Glyma.02G107000
NAC010, NAC26, NAC29	NAC domain-containing protein gene 10	glyma.Wm82.gnm2.ann1.Glyma.02G109800
NAC011, NAC19, NAC193	NAC domain-containing protein gene 11	glyma.Wm82.gnm2.ann1.Glyma.13G030900
NAC012, NAC22	NAC domain-containing protein gene 12	glyma.Wm82.gnm2.ann1.Glyma.02G222300
NAC013	NAC domain-containing protein gene 13	glyma.Wm82.gnm2.ann1.Glyma.02G240500
NAC014	NAC domain-containing protein gene 14	glyma.Wm82.gnm2.ann1.Glyma.03G197900
NAC015	NAC domain-containing protein gene 15	glyma.Wm82.gnm2.ann1.Glyma.04G078600
NAC016	NAC domain-containing protein gene 16	glyma.Wm82.gnm2.ann1.Glyma.04G119500
NAC017, NLP	NAC domain-containing protein gene 17	glyma.Wm82.gnm2.ann1.Glyma.04G167200
NAC018, NAC039	NAC domain-containing protein gene 18	glyma.Wm82.gnm2.ann1.Glyma.06G157400
NAC020	NAC domain-containing protein gene 20	glyma.Wm82.gnm2.ann1.Glyma.04G213300
NAC021	NAC domain-containing protein gene 21	glyma.Wm82.gnm2.ann1.Glyma.04G226700
NAC022	NAC domain-containing protein gene 22	glyma.Wm82.gnm2.ann1.Glyma.04G249000
NAC023	NAC domain-containing protein gene 23	glyma.Wm82.gnm2.ann1.Glyma.05G025500
NAC024	NAC domain-containing protein gene 24	glyma.Wm82.gnm2.ann1.Glyma.05G055900
NAC025	NAC domain-containing protein gene 25	glyma.Wm82.gnm2.ann1.Glyma.05G002700
NAC026	NAC domain-containing protein gene 26	glyma.Wm82.gnm2.ann1.Glyma.05G113000
NAC027	NAC domain-containing protein gene 27	glyma.Wm82.gnm2.ann1.Glyma.05G120500
NAC028	NAC domain-containing protein gene 28	glyma.Wm82.gnm2.ann1.Glyma.05G191300
NAC029	NAC domain-containing protein gene 29	glyma.Wm82.gnm2.ann1.Glyma.05G192500
NAC030	NAC domain-containing protein gene 30	glyma.Wm82.gnm2.ann1.Glyma.05G195000
NAC031	NAC domain-containing protein gene 31	glyma.Wm82.gnm2.ann1.Glyma.05G234200
NAC032	NAC domain-containing protein gene 32	glyma.Wm82.gnm2.ann1.Glyma.05G225100
NAC033	NAC domain-containing protein gene 33	glyma.Wm82.gnm2.ann1.Glyma.05G202300
NAC034	NAC domain-containing protein gene 34	glyma.Wm82.gnm2.ann1.Glyma.06G080200
NAC035, NAC2	NAC domain-containing protein gene 35	glyma.Wm82.gnm2.ann1.Glyma.06G114000
NAC036	NAC domain-containing protein gene 36	glyma.Wm82.gnm2.ann1.Glyma.06G138100
